TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Charleston Southern,BSth,29,16,100.6,101.0,0.4886,48.6,48.3,17.9,19.5,33.6,28.9,29.7,29.0,45.6,46.3,35.2,34.4,67.7,-7.7,,,2013,,,,,,,,-0.4000000000000057,150.0,,0.0
Charlotte,A10,33,21,99.8,96.1,0.6092,47.1,46.9,22.3,20.2,36.5,31.1,44.8,39.3,49.2,45.3,26.8,33.3,67.8,-1.6,,,2013,3.9,101.4,97.5,66.4,0.133,2.81,-6.57,3.8468,129.0,,0.0
Chattanooga,SC,30,11,96.5,110.9,0.1682,46.0,53.5,20.0,18.5,33.9,27.8,43.0,32.6,45.9,51.4,30.8,37.6,67.7,-14.8,,,2013,,,,,,,,-14.400000000000006,150.0,,0.0
Chicago St.,GWC,29,7,90.6,102.1,0.2017,44.4,50.5,21.2,23.5,30.1,33.9,24.6,48.1,41.9,48.6,32.6,36.0,67.1,-15.7,,,2013,,,,,,,,-11.5,150.0,,0.0
Cincinnati,BE,34,22,104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,R64,10.0,2013,15.57,105.9,90.4,63.0,-0.012,7.31,-5.68,15.5748,40.0,0.0,0.0
Clemson,ACC,31,13,99.2,93.7,0.6571,47.2,46.8,18.4,20.4,32.0,31.8,33.1,32.9,47.1,44.4,31.7,34.8,62.3,-7.7,,,2013,5.33,101.2,95.8,61.0,-0.111,4.29,-7.53,5.3744000000000005,112.0,,0.0
Cleveland St.,Horz,29,11,97.9,107.6,0.2531,46.9,52.2,21.2,21.1,31.9,32.5,30.4,45.2,45.1,51.8,33.5,35.4,65.4,-11.0,,,2013,,,,,,,,-9.699999999999989,150.0,,0.0
Coastal Carolina,BSth,26,11,96.0,101.8,0.3356,47.0,49.6,21.7,22.0,37.0,30.6,35.8,39.1,46.8,47.7,31.6,34.8,65.1,-11.6,,,2013,,,,,,,,-5.799999999999997,150.0,,0.0
Colgate,Pat,32,11,95.8,104.5,0.2684,48.0,49.1,19.8,15.2,26.2,27.0,27.6,33.0,46.1,46.9,34.2,35.5,67.2,-14.0,,,2013,,,,,,,,-8.700000000000003,150.0,,0.0
College of Charleston,SC,34,24,101.4,98.7,0.5768,50.2,45.0,20.6,15.5,33.3,27.2,38.5,26.9,49.4,45.0,34.5,30.0,64.4,-3.8,,,2013,,,,,,,,2.700000000000003,150.0,,0.0
Colorado,P12,33,21,104.9,90.2,0.8513,48.3,45.9,20.0,19.4,33.6,30.4,40.9,25.3,47.0,44.7,34.4,32.0,65.5,1.4,R64,10.0,2013,14.62,106.5,91.9,63.7,0.029,9.15,3.8,14.6084,45.0,2.0,0.0
Colorado St.,MWC,33,24,116.6,98.4,0.8759,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,1.9,R32,8.0,2013,19.12,117.9,98.8,63.8,0.02,7.17,-0.49,19.112,22.0,-2.0,0.0
