TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Oregon St.,P12,32,16,107.4,100.9,0.6713,52.1,49.6,19.4,18.6,31.8,28.7,38.7,38.2,53.3,48.1,32.9,34.8,66.8,-7.3,,,2018,6.99,108.2,101.3,65.5,-0.083,3.02,-7.34,7.0232,100.0,,0.0
Pacific,WCC,31,14,105.2,106.1,0.4756,48.5,53.0,17.2,18.3,30.3,27.3,40.5,35.2,48.4,51.7,32.6,36.6,67.6,-10.2,,,2018,,,,,,,,-0.8999999999999915,167.0,,0.0
Penn,Ivy,32,24,103.6,97.6,0.6644,52.9,47.0,16.6,17.0,23.8,22.6,33.4,31.8,53.3,48.0,34.8,30.0,70.1,-3.3,R64,16.0,2018,3.69,103.1,99.4,68.9,0.076,-4.15,-2.98,3.6596,125.0,0.0,31.0
Penn St.,B10,39,26,115.0,93.6,0.9148,52.6,48.3,17.3,19.5,31.7,28.2,31.5,32.1,49.8,46.7,38.7,34.2,68.7,-0.5,,,2018,19.18,114.3,95.1,67.3,-0.05,7.6,-6.36,19.2,19.0,,0.0
Pepperdine,WCC,31,6,105.1,112.0,0.3236,49.5,57.0,17.2,15.5,28.5,26.4,35.2,33.5,48.8,54.7,34.2,40.1,68.6,-17.9,,,2018,,,,,,,,-6.900000000000006,167.0,,0.0
Pittsburgh,ACC,32,8,98.2,103.3,0.3571,48.2,50.1,20.9,16.6,22.7,34.8,31.9,31.3,47.8,50.1,32.5,33.4,66.5,-10.9,,,2018,,,,,,,,-5.099999999999994,167.0,,0.0
Portland,WCC,29,10,98.9,107.2,0.2856,50.6,52.4,18.1,15.8,19.2,31.4,34.6,33.5,46.5,51.7,38.3,35.7,68.3,-14.4,,,2018,,,,,,,,-8.299999999999997,167.0,,0.0
Portland St.,BSky,31,20,106.8,107.0,0.494,49.2,55.0,16.5,22.0,34.7,30.5,33.3,43.3,48.9,54.0,33.2,38.0,75.7,-6.8,,,2018,0.56,107.9,107.3,74.6,0.022,-0.82,3.3,0.5512,164.0,,0.0
Prairie View A&M,SWAC,33,16,100.1,110.2,0.2483,48.9,52.7,18.5,22.5,31.3,32.8,39.2,47.9,49.2,54.4,32.3,33.2,72.1,-11.7,,,2018,,,,,,,,-10.100000000000009,167.0,,0.0
Presbyterian,BSth,29,11,96.5,115.3,0.1144,49.0,55.3,18.8,17.8,24.9,30.0,28.0,29.3,46.8,55.5,34.6,36.7,64.6,-16.2,,,2018,,,,,,,,-18.799999999999997,167.0,,0.0
Princeton,Ivy,28,13,104.9,106.1,0.4689,53.9,52.2,16.4,16.6,22.0,24.8,26.2,32.5,52.1,51.2,37.3,35.9,65.6,-10.1,,,2018,,,,,,,,-1.1999999999999886,167.0,,0.0
Providence,BE,35,21,108.4,95.9,0.8027,49.6,50.3,17.4,19.0,28.9,29.0,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1.9,R64,10.0,2018,12.17,108.9,96.7,67.1,0.074,10.58,-1.38,12.1404,63.0,6.0,12.0
Purdue,B10,37,30,123.2,95.7,0.9484,57.7,47.0,15.8,17.7,28.0,28.0,35.6,24.2,54.1,45.5,42.0,33.2,68.7,7.6,S16,2.0,2018,26.27,122.7,96.4,67.2,0.006,9.02,0.69,26.2676,5.0,0.0,72.0
Quinnipiac,MAAC,33,12,100.8,111.0,0.2485,50.3,53.6,19.4,16.3,27.8,28.5,37.0,30.1,49.8,50.2,33.9,39.6,67.7,-16.3,,,2018,,,,,,,,-10.200000000000005,167.0,,0.0
Radford,BSth,34,23,101.3,102.8,0.4559,49.3,50.1,18.7,20.2,32.0,28.0,31.2,31.7,47.1,48.9,35.0,34.6,64.2,-6.5,R64,16.0,2018,,,,,,,,-1.5,167.0,0.0,13.0
Rhode Island,A10,34,26,109.7,97.3,0.7988,51.1,50.4,15.3,22.6,31.0,28.2,30.1,40.6,50.4,50.6,35.2,33.2,69.6,1.6,R32,7.0,2018,13.93,111.1,97.2,68.4,0.063,3.49,3.83,13.9048,52.0,6.0,47.0
Rice,CUSA,29,7,98.9,108.4,0.2585,48.0,52.6,20.7,16.5,27.6,28.4,35.2,28.5,48.0,51.7,32.1,36.0,68.9,-17.4,,,2018,,,,,,,,-9.5,167.0,,0.0
Richmond,A10,32,12,107.1,108.0,0.4755,52.1,55.4,16.9,19.0,23.4,28.3,29.7,31.4,53.2,55.3,33.4,37.2,69.1,-11.4,,,2018,,,,,,,,-0.9000000000000057,167.0,,0.0
Rider,MAAC,32,22,107.8,106.8,0.527,52.6,52.8,17.6,20.5,33.5,28.6,42.1,36.8,52.0,50.5,35.8,37.1,74.9,-3.4,,,2018,2.28,109.2,106.9,73.8,0.088,-2.78,0.32,2.2447999999999997,144.0,,0.0
Robert Morris,NEC,33,16,93.2,102.1,0.2596,47.4,50.5,20.9,22.3,31.2,31.2,34.3,36.2,45.9,51.1,33.2,32.8,70.6,-11.8,,,2018,,,,,,,,-8.899999999999991,167.0,,0.0
Rutgers,B10,33,15,98.1,95.0,0.589,43.6,48.0,17.2,20.5,33.3,29.1,30.5,30.8,43.4,47.6,29.6,32.5,67.2,-6.8,,,2018,3.07,99.2,96.2,66.0,-0.043,5.58,-14.27,3.0871999999999997,130.0,,0.0
SIU Edwardsville,OVC,30,9,98.8,111.3,0.2029,47.8,54.1,19.4,17.5,29.3,29.4,33.0,45.9,47.2,53.5,32.4,36.8,70.5,-15.3,,,2018,,,,,,,,-12.5,167.0,,0.0
SMU,Amer,33,17,107.6,99.8,0.7041,52.0,49.5,18.0,21.7,32.7,31.7,30.5,30.6,48.7,48.6,37.9,33.8,65.4,-6.3,,,2018,8.61,109.5,100.9,64.3,-0.102,2.41,-3.88,8.6508,84.0,,0.0
Sacramento St.,BSky,30,7,98.6,110.5,0.2122,49.0,52.7,17.9,17.5,24.1,29.5,27.8,33.4,47.7,50.9,34.6,37.2,66.9,-18.6,,,2018,,,,,,,,-11.900000000000006,167.0,,0.0
Sacred Heart,NEC,30,10,95.6,108.4,0.1908,48.5,50.9,21.5,14.6,32.5,22.6,30.0,33.0,50.3,50.9,29.9,33.9,69.6,-16.9,,,2018,,,,,,,,-12.800000000000011,167.0,,0.0
Saint Joseph's,A10,32,16,104.5,99.9,0.628,48.8,49.6,13.9,16.2,23.5,24.5,34.6,24.6,47.7,48.9,33.7,33.7,71.6,-8.1,,,2018,5.15,105.6,100.5,70.5,-0.052,0.77,2.17,5.170800000000001,116.0,,0.0
Saint Louis,A10,32,17,101.3,99.3,0.5572,47.1,49.3,19.5,18.3,33.8,27.0,45.8,35.1,46.6,47.7,32.0,34.8,65.3,-7.9,,,2018,2.1,102.1,100.0,64.1,0.003,1.23,1.0,2.0988,148.0,,0.0
Saint Mary's,WCC,36,30,118.7,102.3,0.8468,58.7,49.2,15.4,15.1,28.9,22.8,30.4,24.8,57.1,49.5,41.0,32.3,64.6,1.3,,,2018,16.13,119.4,103.2,63.5,0.006,-2.12,-4.28,16.127599999999997,32.0,,0.0
Saint Peter's,MAAC,32,14,94.5,99.3,0.3625,49.2,48.4,19.6,21.3,27.1,28.9,27.3,42.3,48.1,47.8,33.7,32.9,63.9,-13.0,,,2018,,,,,,,,-4.799999999999997,167.0,,0.0
Sam Houston St.,Slnd,32,21,101.0,106.1,0.3629,48.2,51.8,18.8,20.1,32.5,27.4,34.0,37.6,47.0,53.1,33.7,33.3,68.1,-9.4,,,2018,,,,,,,,-5.099999999999994,167.0,,0.0
Samford,SC,30,10,106.5,119.4,0.211,54.4,57.7,19.1,18.7,24.7,34.8,30.8,28.5,53.3,58.3,37.2,38.0,71.9,-15.3,,,2018,,,,,,,,-12.900000000000006,167.0,,0.0
San Diego,WCC,33,20,104.1,99.3,0.6325,53.1,46.3,19.6,17.8,22.4,26.4,39.3,41.9,51.7,46.4,36.6,30.7,68.0,-5.7,,,2018,3.01,103.6,100.6,66.9,-0.014,-0.77,-2.63,3.0155999999999996,132.0,,0.0
San Diego St.,MWC,32,22,110.2,94.9,0.8486,51.7,48.6,17.0,19.0,31.6,25.0,35.1,29.6,52.0,47.8,34.1,33.2,70.0,-1.5,R64,11.0,2018,14.09,110.5,96.4,68.8,-0.032,3.46,-0.8,14.1028,50.0,2.0,28.0
San Francisco,WCC,38,22,101.8,100.1,0.5476,49.4,48.9,17.4,17.0,28.0,25.7,29.3,36.9,48.4,48.5,33.8,33.3,68.0,-7.1,,,2018,0.97,102.1,101.1,67.1,0.066,0.06,-0.33,0.9436,158.0,,0.0
San Jose St.,MWC,29,4,95.5,106.9,0.213,48.6,53.2,23.6,14.9,27.8,24.8,34.2,30.8,46.2,53.3,36.2,35.4,68.3,-18.5,,,2018,,,,,,,,-11.400000000000006,167.0,,0.0
Santa Clara,WCC,29,11,99.0,108.6,0.2557,48.6,56.6,17.2,18.9,23.7,27.1,30.2,32.4,47.1,55.1,33.8,40.0,65.7,-12.5,,,2018,,,,,,,,-9.599999999999994,167.0,,0.0
Savannah St.,MEAC,30,15,99.7,114.3,0.1709,48.1,56.6,16.7,20.9,26.7,35.8,29.3,30.8,51.5,58.0,30.2,36.2,83.4,-9.6,,,2018,,,,,,,,-14.599999999999994,167.0,,0.0
Seattle,WAC,31,20,103.7,104.6,0.4744,51.0,47.2,19.6,15.5,29.7,27.9,34.5,41.0,47.4,44.8,37.2,34.5,68.5,-7.4,,,2018,,,,,,,,-0.8999999999999915,167.0,,0.0
Seton Hall,BE,34,22,117.8,98.2,0.8902,52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,52.0,50.0,36.5,33.8,70.7,2.5,R32,8.0,2018,18.04,116.9,98.8,69.5,-0.028,10.12,-0.0,18.0512,26.0,-1.0,32.0
Siena,MAAC,32,8,96.1,107.8,0.209,48.2,50.9,21.7,15.6,31.4,29.0,36.4,42.1,44.7,50.1,36.7,34.9,67.3,-18.6,,,2018,,,,,,,,-11.700000000000005,167.0,,0.0
South Alabama,SB,30,14,96.8,101.2,0.3748,48.4,47.3,20.9,18.4,25.7,29.6,37.7,38.0,48.3,47.9,32.3,30.9,71.4,-12.4,,,2018,,,,,,,,-4.400000000000006,167.0,,0.0
South Carolina,SEC,32,17,104.7,94.8,0.759,46.2,49.3,19.7,21.0,33.6,27.5,42.8,43.1,43.5,48.7,33.8,33.5,69.8,-3.1,,,2018,9.91,105.6,95.7,68.7,0.003,9.63,0.89,9.9088,80.0,,0.0
South Carolina St.,MEAC,30,10,96.1,119.2,0.0779,46.7,56.5,18.5,18.9,29.4,32.8,35.9,33.6,45.7,57.8,32.7,36.3,71.9,-17.3,,,2018,,,,,,,,-23.10000000000001,167.0,,0.0
South Dakota,Sum,31,26,108.3,98.6,0.7458,52.1,48.4,15.7,19.9,29.4,27.1,35.7,29.7,51.9,47.1,35.0,33.7,71.7,-1.8,,,2018,9.85,109.0,99.2,70.9,-0.048,-2.97,-1.65,9.8692,81.0,,0.0
South Dakota St.,Sum,31,28,113.2,100.4,0.7989,54.3,50.0,14.0,14.2,24.6,23.3,35.4,25.6,50.7,49.8,39.3,33.6,71.5,0.6,R64,12.0,2018,10.2,113.8,103.6,70.5,0.097,-0.09,3.59,10.1612,78.0,4.0,36.0
South Florida,Amer,32,10,98.9,107.6,0.2749,48.0,51.1,21.4,16.5,28.8,30.6,33.1,32.6,44.8,52.0,36.1,33.0,65.8,-14.9,,,2018,,,,,,,,-8.699999999999989,167.0,,0.0
Southeast Missouri St.,OVC,29,14,107.2,115.6,0.2943,54.3,55.2,18.1,17.2,26.2,29.3,37.7,34.5,50.7,54.1,39.3,37.9,70.2,-12.3,,,2018,,,,,,,,-8.399999999999991,167.0,,0.0
Southeastern Louisiana,Slnd,31,22,102.7,104.8,0.4426,51.2,49.6,19.6,20.3,29.5,33.6,35.3,29.0,50.9,48.4,34.4,34.6,67.2,-6.5,,,2018,,,,,,,,-2.0999999999999943,167.0,,0.0
Southern,SWAC,31,15,93.5,109.4,0.1415,44.3,48.8,19.3,17.4,32.9,30.1,41.5,37.6,42.3,47.1,33.2,34.5,69.1,-13.3,,,2018,,,,,,,,-15.900000000000006,167.0,,0.0
Southern Illinois,MVC,32,20,104.4,102.8,0.5446,52.2,50.5,18.7,19.9,25.9,29.0,32.4,34.1,51.5,50.9,35.7,33.3,67.9,-5.3,,,2018,2.82,106.1,103.3,66.6,0.073,1.27,-4.09,2.7908,135.0,,0.0
Southern Miss,CUSA,30,16,104.7,107.9,0.4139,50.3,56.0,14.6,19.8,20.5,29.0,28.3,32.9,49.8,55.1,34.1,38.1,66.3,-9.9,,,2018,,,,,,,,-3.200000000000003,167.0,,0.0
Southern Utah,BSky,30,13,100.7,108.1,0.3062,50.4,54.6,17.4,16.6,22.6,25.9,35.9,41.6,48.2,53.2,36.1,38.2,72.8,-12.3,,,2018,,,,,,,,-7.399999999999992,167.0,,0.0
St. Bonaventure,A10,34,26,109.6,99.7,0.7485,51.6,49.0,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32.0,70.4,1.4,R64,11.0,2018,11.21,110.8,99.5,69.4,0.078,2.8,1.17,11.1788,68.0,5.0,28.0
St. Francis NY,NEC,29,13,97.6,111.0,0.1851,48.7,53.2,17.7,20.9,26.2,31.9,30.4,45.1,46.4,54.1,34.6,34.1,70.3,-14.6,,,2018,,,,,,,,-13.400000000000006,167.0,,0.0
St. Francis PA,NEC,29,18,104.1,110.2,0.3424,52.8,53.6,16.5,18.6,25.7,31.1,33.5,23.4,51.2,53.8,37.0,35.5,69.7,-7.7,,,2018,,,,,,,,-6.1000000000000085,167.0,,0.0
St. John's,BE,32,16,106.0,95.1,0.7764,49.2,50.3,16.4,22.2,23.6,32.0,30.4,34.4,48.8,46.0,33.3,37.4,70.5,-3.0,,,2018,10.31,106.5,96.2,69.4,-0.016,11.11,3.05,10.3164,74.0,,0.0
Stanford,P12,35,19,107.6,98.5,0.7341,51.9,49.7,20.6,15.9,32.8,27.0,41.6,29.2,50.3,47.9,36.9,35.1,71.9,-4.3,,,2018,8.37,107.7,99.3,70.9,0.016,6.29,3.46,8.3636,87.0,,0.0
Stephen F. Austin,Slnd,31,28,103.8,97.1,0.6832,53.1,49.7,20.7,25.9,32.0,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,-1.8,R64,14.0,2018,5.58,104.5,99.0,71.1,0.031,-7.16,-2.26,5.5676,112.0,2.0,25.0
Stetson,ASun,28,12,97.8,111.3,0.1841,48.9,54.6,14.9,18.5,23.2,27.5,25.0,37.0,48.7,53.6,32.9,37.4,71.0,-16.1,,,2018,,,,,,,,-13.5,167.0,,0.0
Stony Brook,AE,31,13,96.1,100.9,0.3652,47.9,50.5,20.0,20.8,30.5,28.2,32.0,41.8,47.5,49.1,32.2,35.3,69.6,-12.7,,,2018,,,,,,,,-4.800000000000011,167.0,,0.0
Syracuse,ACC,37,23,106.0,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64.0,-0.4,S16,11.0,2018,14.82,107.0,92.2,62.9,0.021,9.81,-0.2,14.8116,41.0,0.0,22.0
TCU,B12,33,21,119.5,100.5,0.8804,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,55.1,50.1,39.4,37.6,70.0,2.2,R64,6.0,2018,18.47,119.7,101.2,68.6,-0.067,9.67,-0.82,18.4968,24.0,0.0,52.0
Temple,Amer,33,17,107.4,99.3,0.7113,49.3,49.8,15.9,18.7,27.7,32.4,25.6,31.5,47.2,50.5,35.0,32.4,68.4,-3.3,,,2018,8.38,108.3,100.0,67.6,0.028,8.53,9.11,8.3688,86.0,,0.0
Tennessee,SEC,35,26,114.2,92.0,0.9225,50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,47.3,46.1,38.0,31.8,67.1,6.4,R32,3.0,2018,22.27,114.6,92.4,66.0,0.019,11.01,7.1,22.2624,13.0,1.0,56.0
Tennessee Martin,OVC,29,10,94.3,105.6,0.2149,49.8,50.7,21.6,19.0,28.5,32.0,24.1,34.1,50.7,48.9,32.2,35.1,67.4,-15.9,,,2018,,,,,,,,-11.299999999999995,167.0,,0.0
Tennessee St.,OVC,28,15,96.3,101.0,0.3673,49.3,52.7,21.9,23.3,25.5,27.7,37.8,35.4,48.1,51.3,33.9,36.1,66.7,-9.5,,,2018,,,,,,,,-4.700000000000003,167.0,,0.0
Tennessee Tech,OVC,31,19,97.4,102.6,0.3558,49.0,51.0,19.8,20.3,28.2,30.1,37.7,36.6,47.5,51.6,34.5,33.4,72.0,-7.9,,,2018,,,,,,,,-5.199999999999989,167.0,,0.0
Texas,B12,34,19,109.3,93.7,0.8547,50.0,48.3,17.0,18.0,29.4,29.1,33.0,26.2,51.2,47.5,32.0,33.2,66.6,1.4,R64,10.0,2018,15.43,109.5,94.1,65.2,-0.03,11.77,2.05,15.442,36.0,-1.0,30.0
Texas A&M,SEC,35,22,111.2,94.7,0.864,51.4,46.9,19.2,15.3,33.9,27.3,32.0,27.6,52.5,45.7,32.9,32.6,70.3,1.9,S16,7.0,2018,16.96,111.3,94.4,69.5,0.014,11.69,5.12,16.9544,29.0,1.0,31.0
Texas A&M Corpus Chris,Slnd,26,11,93.7,107.9,0.1637,48.1,52.3,23.0,21.2,28.8,29.3,37.0,46.1,46.7,51.6,34.4,35.5,69.0,-14.0,,,2018,,,,,,,,-14.200000000000005,167.0,,0.0
Texas Southern,SWAC,36,16,104.1,112.4,0.293,50.5,51.2,17.2,16.2,28.5,32.5,42.9,31.2,48.5,49.4,35.9,36.6,72.6,-10.9,R64,16.0,2018,,,,,,,,-8.300000000000011,167.0,0.0,31.0
Texas St.,SB,31,15,99.7,104.2,0.3765,48.8,51.7,20.9,19.4,31.9,27.7,36.3,30.0,48.4,53.1,33.1,33.0,64.0,-12.9,,,2018,,,,,,,,-4.5,167.0,,0.0
Texas Tech,B12,37,27,112.7,91.5,0.917,52.0,46.4,17.8,21.7,32.9,28.7,39.3,38.0,51.1,45.1,35.9,32.3,67.6,4.7,E8,3.0,2018,22.59,113.3,90.8,66.7,-0.007,10.31,-5.24,22.5928,11.0,0.0,62.0
The Citadel,SC,29,11,100.8,114.7,0.1849,49.1,56.8,18.7,19.6,27.4,33.7,32.7,30.4,47.9,57.4,33.4,37.3,78.9,-14.9,,,2018,,,,,,,,-13.900000000000006,167.0,,0.0
Toledo,MAC,33,23,113.2,108.3,0.6248,55.3,49.5,16.6,13.4,27.8,27.8,37.1,26.4,51.4,48.5,40.6,34.4,69.5,-4.5,,,2018,5.31,113.9,108.6,68.4,0.049,-1.94,-1.81,5.2904,113.0,,0.0
Towson,CAA,30,18,104.0,105.5,0.4584,51.6,50.6,18.2,18.7,34.3,27.4,35.4,39.3,51.1,49.4,35.3,35.0,69.0,-9.1,,,2018,1.29,106.0,104.7,67.9,-0.07,-2.8,-2.22,1.318,153.0,,0.0
Troy,SB,31,16,104.7,105.9,0.4676,51.4,50.2,18.0,16.6,26.9,28.9,33.6,31.6,52.1,49.7,33.7,34.0,69.4,-10.5,,,2018,,,,,,,,-1.2000000000000028,167.0,,0.0
Tulane,Amer,31,14,105.4,106.2,0.4774,51.5,50.5,18.8,17.2,27.5,30.0,34.5,34.6,50.9,49.8,35.0,34.5,70.3,-8.7,,,2018,,,,,,,,-0.7999999999999972,167.0,,0.0
Tulsa,Amer,31,19,108.5,101.4,0.6853,50.7,49.5,18.6,17.9,32.0,29.6,41.6,25.3,49.7,47.9,34.7,34.4,68.8,-4.1,,,2018,6.02,108.3,102.3,67.3,0.029,0.68,-2.04,6.0084,110.0,,0.0
UAB,CUSA,31,20,108.0,102.5,0.6448,54.7,50.6,19.0,17.6,30.9,25.0,28.3,26.8,55.9,49.1,34.8,35.0,68.8,-6.1,,,2018,6.32,109.6,103.3,67.7,-0.047,-0.93,-6.96,6.3388,109.0,,0.0
UC Davis,BW,31,22,103.2,100.8,0.5691,52.0,49.4,18.6,21.9,24.4,29.1,38.5,36.5,50.7,49.2,36.6,33.0,67.5,-4.4,,,2018,3.25,104.1,100.9,66.5,0.041,-1.05,4.12,3.2336,129.0,,0.0
UC Irvine,BW,33,18,99.4,97.3,0.5585,48.1,45.0,20.5,14.8,32.3,24.8,28.2,41.2,47.5,42.9,33.0,32.8,68.2,-9.1,,,2018,2.11,100.1,98.0,67.0,-0.025,1.08,8.99,2.1199999999999997,147.0,,0.0
UC Riverside,BW,29,9,92.8,103.5,0.2216,45.1,49.1,20.0,19.3,26.8,31.8,32.4,38.2,44.1,48.5,31.3,33.3,69.5,-16.2,,,2018,,,,,,,,-10.700000000000005,167.0,,0.0
UC Santa Barbara,BW,30,23,110.2,106.2,0.6045,53.0,49.9,14.9,16.6,28.7,27.0,32.0,29.5,50.5,48.9,38.3,34.4,67.9,-3.9,,,2018,4.27,111.4,107.1,66.7,0.034,-3.86,-0.86,4.256399999999999,123.0,,0.0
UCF,Amer,32,19,97.4,93.5,0.6165,47.8,45.7,20.7,18.9,28.5,28.6,43.1,26.2,47.1,43.7,32.9,33.1,65.8,-3.4,,,2018,5.62,98.9,93.2,64.5,0.062,2.52,-2.5,5.5952,111.0,,0.0
UCLA,P12,33,21,113.7,100.6,0.8029,53.7,49.1,16.6,14.5,28.5,26.9,35.5,29.7,51.4,47.3,38.1,34.6,71.5,0.0,R68,11.0,2018,13.52,115.0,101.4,70.3,-0.027,6.42,2.93,13.5308,56.0,3.0,20.0
UMBC,AE,33,25,102.1,102.2,0.4963,52.2,51.6,17.2,20.7,25.9,28.3,30.2,30.8,48.1,51.0,38.2,35.0,69.3,-4.9,R32,16.0,2018,0.5,103.1,102.6,68.4,0.125,-4.38,-3.55,0.45,165.0,0.0,8.0
UMKC,WAC,29,10,98.3,107.3,0.2674,47.8,52.5,18.2,20.0,21.3,33.5,34.4,42.5,45.6,51.7,33.5,36.0,70.7,-14.2,,,2018,,,,,,,,-9.0,167.0,,0.0
UMass Lowell,AE,29,12,103.5,113.7,0.2528,52.1,55.4,18.7,20.3,26.3,32.5,39.2,33.5,52.4,55.0,34.4,37.5,72.6,-14.1,,,2018,,,,,,,,-10.200000000000005,167.0,,0.0
UNC Asheville,BSth,32,21,105.1,106.7,0.4561,54.6,52.5,19.4,18.5,24.0,26.8,31.3,33.9,52.0,52.4,39.4,35.1,70.6,-6.2,,,2018,,,,,,,,-1.6000000000000083,167.0,,0.0
UNC Greensboro,SC,32,27,103.4,95.2,0.7207,51.7,47.5,19.8,21.4,33.7,23.9,26.0,39.2,51.1,47.3,35.0,31.9,66.2,-1.6,R64,13.0,2018,9.22,104.9,95.7,65.2,-0.024,-4.57,-3.46,9.2296,82.0,3.0,37.0
UNC Wilmington,CAA,30,11,104.3,110.6,0.3369,48.9,56.6,17.3,15.6,33.8,25.5,31.1,36.9,47.4,54.8,34.5,39.6,73.3,-14.9,,,2018,,,,,,,,-6.299999999999997,167.0,,0.0
UNLV,MWC,33,20,110.4,104.1,0.6637,53.5,48.7,19.1,15.5,34.5,29.9,43.4,26.2,54.8,46.7,33.4,35.2,73.8,-4.8,,,2018,6.44,111.4,104.9,72.3,-0.012,0.86,-5.02,6.444800000000001,107.0,,0.0
USC,P12,36,24,114.0,98.6,0.8423,53.8,51.0,15.3,19.2,30.0,28.8,29.9,26.6,52.4,49.8,37.6,35.2,69.0,-0.4,,,2018,14.06,114.5,100.5,67.7,-0.017,5.12,1.37,14.0668,51.0,,0.0
USC Upstate,ASun,28,7,105.1,123.0,0.1413,50.1,59.5,16.1,15.0,27.0,30.8,21.6,36.1,49.3,56.7,34.1,43.1,70.1,-19.5,,,2018,,,,,,,,-17.900000000000006,167.0,,0.0
UT Arlington,SB,33,21,104.7,101.5,0.5886,52.5,49.2,20.1,19.3,30.8,27.7,34.8,34.7,51.0,47.9,36.5,33.9,73.9,-6.2,,,2018,3.37,105.5,102.1,72.8,0.009,-1.37,-1.2,3.3664,128.0,,0.0
UT Rio Grande Valley,WAC,31,15,97.4,108.3,0.2285,44.8,51.5,17.8,20.4,28.2,30.3,41.2,45.5,44.3,49.9,30.5,36.5,75.1,-10.8,,,2018,,,,,,,,-10.899999999999991,167.0,,0.0
UTEP,CUSA,30,11,96.8,103.0,0.3286,49.3,50.6,17.8,17.4,19.0,27.0,30.9,36.4,49.0,48.8,33.1,35.3,68.9,-13.7,,,2018,,,,,,,,-6.200000000000003,167.0,,0.0
UTSA,CUSA,32,20,104.0,103.2,0.523,51.1,49.4,17.1,16.3,26.5,27.3,29.6,41.6,49.3,47.8,35.5,34.7,73.0,-7.1,,,2018,,,,,,,,0.7999999999999972,167.0,,0.0
Utah,P12,35,23,111.4,97.9,0.8156,54.5,48.3,17.5,17.5,24.1,28.6,34.4,28.8,53.6,47.0,37.0,33.6,67.1,-1.5,,,2018,12.99,111.8,98.9,65.6,0.031,6.31,-1.28,12.9776,58.0,,0.0
Utah St.,MWC,33,17,106.1,103.8,0.5631,53.2,51.9,18.8,17.6,25.4,26.4,33.2,33.3,52.5,50.7,36.0,36.0,68.0,-8.0,,,2018,2.57,107.2,104.7,66.8,-0.014,2.74,-0.95,2.5755999999999997,139.0,,0.0
Utah Valley,WAC,31,23,109.0,102.0,0.6814,54.2,48.1,19.8,17.5,30.9,27.5,39.1,28.5,51.9,47.4,38.9,32.9,69.2,-4.1,,,2018,7.78,110.8,103.0,68.1,-0.006,-1.94,1.28,7.7824,92.0,,0.0
VCU,A10,33,18,105.5,102.7,0.5788,52.6,51.5,18.7,17.8,29.0,27.0,28.1,29.4,52.4,50.9,35.2,35.1,72.0,-7.0,,,2018,2.28,106.1,103.8,70.9,0.015,0.51,1.16,2.274,144.0,,0.0
VMI,SC,28,9,89.3,106.7,0.114,45.7,52.1,21.4,18.8,25.4,30.3,27.7,34.2,43.7,52.1,32.3,34.6,70.1,-15.8,,,2018,,,,,,,,-17.400000000000006,167.0,,0.0
Valparaiso,MVC,30,15,101.5,101.5,0.502,50.8,48.5,21.2,19.5,26.7,28.0,36.7,44.1,50.5,48.6,34.1,32.2,70.9,-9.7,,,2018,1.78,103.0,101.2,69.7,-0.053,1.62,-2.72,1.8012,150.0,,0.0
Vanderbilt,SEC,32,12,114.7,105.9,0.7142,51.8,52.4,17.7,14.7,28.6,27.7,36.2,36.5,50.8,50.7,35.3,37.4,67.0,-6.0,,,2018,7.93,115.3,107.3,65.8,-0.08,11.07,4.28,7.962,90.0,,0.0
Vermont,AE,34,27,110.7,103.8,0.6759,55.9,50.6,16.9,16.8,26.0,22.6,41.8,25.0,53.8,49.9,39.9,34.6,65.2,-0.9,,,2018,10.22,113.8,103.5,64.1,-0.009,-2.97,4.54,10.2236,76.0,,0.0
Villanova,BE,40,36,128.4,94.1,0.9725,59.5,48.5,15.0,18.2,29.6,27.1,29.4,26.7,59.0,49.0,40.1,31.7,69.6,10.6,Champions,1.0,2018,33.76,127.8,94.0,68.7,-0.018,11.31,3.98,33.767199999999995,1.0,0.0,76.0
Virginia,ACC,34,31,114.6,86.7,0.9612,52.7,44.3,14.0,20.9,27.0,25.6,24.5,26.2,50.1,42.8,38.3,31.0,60.5,11.3,R64,1.0,2018,29.53,115.2,85.6,59.4,0.048,9.24,-0.08,29.5108,2.0,0.0,74.0
