TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS,COACH,COACH_PREMIUM,EFF_RATIO,SHOOT_EDGE,TURNOVER_EDGE,REBOUND_SHARE,OFF_VERSATILITY,WIN_RATE,SEED_X_DIVERGENCE,COACH_X_DIVERGENCE,TQS_X_SOS,CONF_TOURNEY_WINS,CONF_TOURNEY_CHAMP
Boise St.,MWC,30,19,112.0,97.4,0.8332,51.8,51.4,18.4,20.0,30.3,24.4,33.7,42.2,48.4,51.0,38.7,34.8,66.2,-0.2,R68,13.0,2013,13.54,113.2,99.7,64.8,0.004,6.74,-1.38,13.5384,54.0,-1.0,0.0,Leon Rice,0.0,1.1498973305954825,0.3999999999999986,1.6000000000000014,0.5539305301645338,1304.1900000000003,0.6333333333333333,-2.6390573296152584,-0.0,91.248816,0.0,0
Boston College,ACC,33,16,108.6,102.0,0.6737,51.0,51.1,17.7,17.9,28.1,30.7,39.7,29.1,49.7,48.7,35.3,37.5,64.2,-5.4,,,2013,6.04,109.9,103.9,62.6,0.026,6.46,-3.14,6.0296,107.0,,0.0,Steve Donahue,0.0,1.0647058823529412,-0.10000000000000142,0.1999999999999993,0.47789115646258506,1401.41,0.48484848484848486,,,38.951216,1.0,0
Boston University,AE,30,17,103.2,101.1,0.557,52.2,47.4,18.8,21.5,25.9,31.2,26.5,33.2,49.9,47.8,37.0,31.1,66.2,-6.9,,,2013,2.23,105.3,103.0,64.4,-0.036,-3.12,-0.08,2.2444,143.0,,0.0,Joe Jones,0.0,1.020771513353116,4.800000000000004,2.6999999999999993,0.45359019264448336,980.5,0.5666666666666667,,,-7.002528000000001,0.0,0
Bowling Green,MAC,30,11,95.4,98.5,0.4087,46.6,48.0,19.9,20.0,30.4,31.6,25.8,34.2,46.8,46.5,30.6,34.3,64.1,-13.3,,,2013,,,,,,,,-3.0999999999999943,150.0,,0.0,Louis Orr,0.0,0.968527918781726,-1.3999999999999986,0.10000000000000142,0.49032258064516127,789.48,0.36666666666666664,,,,0.0,0
Bradley,MVC,35,18,102.8,101.9,0.5244,48.3,51.0,17.8,21.7,30.3,31.7,29.9,35.3,48.5,49.7,31.9,35.4,66.9,-7.5,,,2013,,,,,,,,0.8999999999999915,150.0,,0.0,Geno Ford,0.0,1.0088321884200195,-2.700000000000003,3.8999999999999986,0.48870967741935484,953.81,0.5142857142857142,,,,0.0,0
Brown,Ivy,27,12,94.3,99.7,0.3458,47.6,49.5,21.6,18.5,30.5,27.1,34.3,34.0,45.3,45.7,34.0,37.8,64.4,-10.3,,,2013,,,,,,,,-5.400000000000006,150.0,,0.0,Mike Martin Brn,0.0,0.9458375125376128,-1.8999999999999986,-3.1000000000000014,0.5295138888888888,1166.1999999999998,0.4444444444444444,,,,0.0,0
Bryant,NEC,31,19,107.6,108.0,0.4886,54.4,51.8,19.2,17.6,30.5,29.7,37.0,30.2,54.9,51.1,35.6,35.2,66.5,-6.4,,,2013,,,,,,,,-0.4000000000000057,150.0,,0.0,Tim O'Shea,0.0,0.9962962962962962,2.6000000000000014,-1.5999999999999979,0.5066445182724252,1317.2,0.6129032258064516,,,,0.0,0
Bucknell,Pat,33,27,104.7,93.1,0.7936,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1.0,R64,11.0,2013,12.72,107.3,94.6,61.9,-0.014,-1.72,2.78,12.7256,58.0,-4.0,0.0,David Paulsen,0.0,1.1245972073039743,7.100000000000001,-1.0,0.5466417910447762,1278.06,0.8181818181818182,-9.939626599152001,-0.0,-21.888032,3.0,1
Buffalo,MAC,32,12,102.5,103.4,0.4761,50.4,47.2,23.7,17.1,35.1,32.5,38.5,36.8,50.0,46.1,34.2,33.2,65.4,-13.6,,,2013,,,,,,,,-0.9000000000000057,150.0,,0.0,Reggie Witherspoon,0.0,0.9912959381044487,3.1999999999999957,-6.599999999999998,0.5192307692307693,1316.7,0.375,,,,2.0,0
Butler,A10,35,26,109.2,93.0,0.8624,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,R32,6.0,2013,15.41,110.5,95.1,63.6,0.087,7.53,4.18,15.3752,42.0,-5.0,0.0,Brad Stevens,0.0,1.1741935483870969,4.0,-2.8000000000000007,0.5771704180064309,1317.12,0.7428571428571429,-9.729550745276565,-0.0,115.775256,2.0,0
