,Akron,Alabama,Alabama St.,American,Arizona,Arkansas,Auburn,BYU,Baylor,Bryant,Clemson,Colorado St.,Connecticut,Creighton,Drake,Duke,Florida,Georgia,Gonzaga,Grand Canyon,High Point,Houston,Illinois,Iowa St.,Kansas,Kentucky,Liberty,Lipscomb,Louisville,Marquette,Maryland,McNeese St.,Memphis,Michigan,Michigan St.,Mississippi,Mississippi St.,Missouri,Montana,Mount St. Mary's,Nebraska Omaha,New Mexico,Norfolk St.,North Carolina,Oklahoma,Oregon,Purdue,Robert Morris,SIU Edwardsville,Saint Francis,Saint Mary's,San Diego St.,St. John's,Tennessee,Texas,Texas A&M,Texas Tech,Troy,UC San Diego,UCLA,UNC Wilmington,Utah St.,VCU,Vanderbilt,Wisconsin,Wofford,Xavier,Yale
Mississippi St.,0.8674,0.2056,0.9628,0.9524,0.2918,0.4497,0.1295,0.4338,0.4063,0.9041,0.4066,0.5003,0.4598,0.4823,0.6721,0.0827,0.112,0.5425,0.1266,0.8697,0.8263,0.1104,0.3125,0.2845,0.3482,0.3704,0.7881,0.8158,0.3821,0.4707,0.2475,0.7831,0.8471,0.4015,0.2432,0.3704,0.5,0.3314,0.9236,0.9508,0.9139,0.5654,0.9172,0.3537,0.5605,0.4824,0.3167,0.8823,0.9386,0.9761,0.3873,0.6719,0.3615,0.1945,0.5899,0.3948,0.2553,0.8424,0.4462,0.3039,0.867,0.7819,0.4089,0.6427,0.2865,0.8643,0.5475,0.7921
Missouri,0.9296,0.3431,0.9812,0.9758,0.4539,0.6225,0.2309,0.6072,0.58,0.9501,0.5803,0.6689,0.632,0.6527,0.8053,0.154,0.2029,0.7052,0.2263,0.9309,0.9057,0.2003,0.4784,0.4452,0.5187,0.5428,0.8824,0.8993,0.5551,0.6422,0.399,0.8793,0.9179,0.5751,0.3934,0.5428,0.6686,0.5,0.9606,0.975,0.9554,0.7241,0.9572,0.5248,0.7201,0.6528,0.4832,0.938,0.9686,0.988,0.5605,0.8052,0.5332,0.3276,0.7437,0.5682,0.4088,0.9151,0.6191,0.4684,0.9294,0.8785,0.5826,0.784,0.4475,0.9278,0.7094,0.8849
Montana,0.351,0.021,0.6817,0.6234,0.0329,0.0633,0.0122,0.0596,0.0535,0.438,0.0536,0.0764,0.0657,0.0715,0.1449,0.0074,0.0103,0.0893,0.0118,0.3555,0.2823,0.0102,0.0362,0.0318,0.0423,0.0464,0.2352,0.268,0.0486,0.0685,0.0265,0.2298,0.3141,0.0525,0.0259,0.0464,0.0764,0.0394,0.5,0.6153,0.4674,0.0971,0.478,0.0433,0.0954,0.0715,0.0369,0.3826,0.5582,0.7718,0.0497,0.1448,0.0447,0.0196,0.1063,0.0512,0.0276,0.3065,0.0624,0.0348,0.3502,0.2286,0.0541,0.1294,0.0321,0.345,0.0909,0.2395
Mount St. Mary's,0.2528,0.0132,0.5726,0.5086,0.0209,0.0405,0.0076,0.0381,0.0342,0.3277,0.0342,0.0492,0.0421,0.0459,0.0958,0.0046,0.0065,0.0578,0.0074,0.2565,0.1974,0.0064,0.023,0.0201,0.0269,0.0295,0.1613,0.1863,0.031,0.044,0.0167,0.1573,0.2227,0.0335,0.0163,0.0295,0.0492,0.025,0.3847,0.5,0.3544,0.063,0.3641,0.0275,0.0618,0.046,0.0234,0.2793,0.4414,0.679,0.0316,0.0958,0.0284,0.0123,0.0692,0.0326,0.0174,0.2165,0.04,0.0221,0.2521,0.1563,0.0345,0.0851,0.0203,0.2478,0.0589,0.1645
Nebraska Omaha,0.3813,0.0238,0.7094,0.6535,0.0374,0.0715,0.0138,0.0673,0.0606,0.4703,0.0606,0.0862,0.0742,0.0807,0.1618,0.0084,0.0117,0.1005,0.0135,0.3859,0.3095,0.0116,0.0411,0.0361,0.0479,0.0525,0.2594,0.2943,0.055,0.0773,0.0301,0.2537,0.3429,0.0594,0.0294,0.0525,0.0861,0.0446,0.5326,0.6456,0.5,0.1092,0.5106,0.049,0.1072,0.0807,0.0418,0.4139,0.5901,0.794,0.0562,0.1617,0.0506,0.0222,0.1193,0.0579,0.0313,0.3349,0.0705,0.0395,0.3805,0.2524,0.0612,0.1449,0.0364,0.3751,0.1023,0.2641
New Mexico,0.8341,0.166,0.9522,0.939,0.2405,0.3858,0.1026,0.3706,0.3447,0.8787,0.345,0.4349,0.3955,0.4173,0.6118,0.0648,0.0884,0.4768,0.1003,0.8368,0.7853,0.0871,0.2589,0.2341,0.2911,0.3114,0.7409,0.7729,0.3222,0.4061,0.2018,0.7351,0.8098,0.3402,0.1981,0.3114,0.4346,0.2759,0.9029,0.937,0.8908,0.5,0.8949,0.2961,0.495,0.4173,0.2627,0.8521,0.9216,0.9692,0.327,0.6116,0.3032,0.1565,0.5251,0.3339,0.2085,0.8043,0.3825,0.2513,0.8337,0.7337,0.3471,0.5803,0.2358,0.8304,0.4818,0.7454
Norfolk St.,0.3713,0.0228,0.7005,0.6438,0.0359,0.0687,0.0133,0.0647,0.0582,0.4598,0.0583,0.0829,0.0714,0.0776,0.1562,0.0081,0.0113,0.0967,0.0129,0.3759,0.3005,0.0111,0.0394,0.0347,0.046,0.0504,0.2514,0.2856,0.0529,0.0743,0.0288,0.2458,0.3334,0.0571,0.0282,0.0504,0.0828,0.0428,0.522,0.6359,0.4894,0.1051,0.5,0.0471,0.1032,0.0776,0.0402,0.4036,0.5798,0.787,0.054,0.1561,0.0486,0.0213,0.1149,0.0556,0.03,0.3255,0.0678,0.0379,0.3705,0.2445,0.0588,0.1397,0.035,0.3652,0.0985,0.2559
North Carolina,0.9228,0.3211,0.9793,0.9734,0.4295,0.5989,0.2138,0.5833,0.5557,0.9451,0.556,0.6466,0.6086,0.6299,0.7893,0.1415,0.1873,0.6842,0.2095,0.9242,0.8969,0.1849,0.4537,0.4208,0.494,0.5181,0.8717,0.89,0.5305,0.6191,0.3754,0.8683,0.9101,0.5507,0.37,0.5181,0.6463,0.4752,0.9567,0.9725,0.951,0.7039,0.9529,0.5,0.6997,0.63,0.4585,0.932,0.9654,0.9868,0.5359,0.7891,0.5085,0.3061,0.7244,0.5437,0.3851,0.9071,0.5955,0.4438,0.9226,0.8675,0.5583,0.7667,0.4232,0.9209,0.6885,0.8744
Oklahoma,0.8369,0.1687,0.9531,0.9401,0.2442,0.3906,0.1045,0.3753,0.3493,0.8809,0.3496,0.4398,0.4003,0.4221,0.6165,0.0661,0.09,0.4818,0.1021,0.8396,0.7887,0.0887,0.2628,0.2377,0.2953,0.3158,0.7447,0.7764,0.3266,0.4109,0.2051,0.739,0.8129,0.3447,0.2013,0.3157,0.4395,0.2799,0.9046,0.9382,0.8928,0.505,0.8968,0.3003,0.5,0.4222,0.2666,0.8546,0.923,0.9698,0.3314,0.6163,0.3075,0.1592,0.5301,0.3384,0.2119,0.8074,0.3872,0.2551,0.8364,0.7376,0.3517,0.5851,0.2395,0.8332,0.4869,0.7492
Oregon,0.8753,0.2174,0.9653,0.9555,0.3066,0.4673,0.1377,0.4512,0.4234,0.91,0.4238,0.5179,0.4774,0.4999,0.6875,0.0883,0.1192,0.5599,0.1347,0.8775,0.8362,0.1176,0.3279,0.2991,0.3644,0.3871,0.7997,0.8261,0.3989,0.4884,0.2609,0.7948,0.856,0.4185,0.2564,0.387,0.5176,0.3472,0.9285,0.954,0.9193,0.5827,0.9224,0.37,0.5778,0.5,0.3321,0.8894,0.9425,0.9777,0.4042,0.6873,0.378,0.2058,0.6068,0.4117,0.2689,0.8516,0.4637,0.3191,0.8749,0.7937,0.426,0.6587,0.3011,0.8724,0.5649,0.8034
